"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","636","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:54:21 MSK 2025","passed","Sun Mar 30 12:54:22 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","1014","Тест: Переход на страницу Дзена при нажатии на лого Яндекса в заголовке страницы Самокат","tests","Sun Mar 30 12:56:28 MSK 2025","passed","Sun Mar 30 12:56:29 MSK 2025","TestRedirects","test_redirects","",""
"","3958","Заполнение полей формы заказа Самоката","tests","Sun Mar 30 12:55:51 MSK 2025","passed","Sun Mar 30 12:55:55 MSK 2025","TestOrderPage","test_order_page","",""
"","553","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:53:59 MSK 2025","passed","Sun Mar 30 12:54:00 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","12736","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:55:16 MSK 2025","passed","Sun Mar 30 12:55:29 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","567","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:54:53 MSK 2025","passed","Sun Mar 30 12:54:54 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","548","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:54:10 MSK 2025","passed","Sun Mar 30 12:54:11 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","12062","Заполнение полей формы заказа Самоката","tests","Sun Mar 30 12:56:05 MSK 2025","passed","Sun Mar 30 12:56:18 MSK 2025","TestOrderPage","test_order_page","",""
"","570","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:55:40 MSK 2025","passed","Sun Mar 30 12:55:41 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","738","Тест: Переход на главную страницу Самоката при нажатии на лого Самоката","tests","Sun Mar 30 12:56:39 MSK 2025","passed","Sun Mar 30 12:56:39 MSK 2025","TestRedirects","test_redirects","",""
"","612","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:54:42 MSK 2025","passed","Sun Mar 30 12:54:43 MSK 2025","TestMainPageFAQ","test_main_page","",""
"","538","Проверка аккордеона FAQ - Вопрос/Ответ","tests","Sun Mar 30 12:55:05 MSK 2025","passed","Sun Mar 30 12:55:06 MSK 2025","TestMainPageFAQ","test_main_page","",""
